Resume_Rank,Resume_Index,Resume_ID,Resume_Category,Job_Index,Job_ID,Job_Title,Company,Final_Score,Skills_Matched,Explanation
1,0,16852973,HR,12530,3887599959,Senior Catering Sales Manager OEM - Salary up to $100K,Aimbridge Hospitality,0.9305,"['c', 'go', 'r']","Match Score: 93% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 1 | Resume Exp: senior | Job Exp Req: senior"
1,5,11592605,HR,86152,3904380612,Attorney,Rangam,0.9223,"['c', 'r']","Match Score: 92% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,5,11592605,HR,25841,3891077739,Human Resources Generalist,Charles Aris Executive Search,0.9175,"['c', 'go', 'r']","Match Score: 91% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,5,11592605,HR,52280,3901456207,Human Resources Generalist,The Crox Group,0.9174,"['c', 'excel', 'go', 'r']","Match Score: 91% | Skills: c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,5,11592605,HR,101613,3905251874,Human Resources Manager,,0.9173,"['c', 'excel', 'go', 'r']","Match Score: 91% | Skills: c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,5,11592605,HR,88075,3904392601,HR Generalist,Dana Incorporated,0.9157,"['c', 'excel', 'go', 'r']","Match Score: 91% | Skills: c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
1,6,25824789,HR,48502,3901347920,HR Business Partner,Tecan,0.9471,"['c', 'go', 'r']","Match Score: 94% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,6,25824789,HR,99766,3905202804,Human Resources Manager,Dana Incorporated,0.9419,"['c', 'go', 'r']","Match Score: 94% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,6,25824789,HR,123079,3906257222,Human Resources Information System Specialist,,0.934,"['c', 'r']","Match Score: 93% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,6,25824789,HR,42624,3899539354,Senior Vice President Human Resources,Miller Resource Group,0.9323,"['c', 'r']","Match Score: 93% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,6,25824789,HR,95891,3904940282,Human Resources Manager,Uline,0.9322,"['c', 'go', 'r']","Match Score: 93% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
1,7,15375009,HR,48502,3901347920,HR Business Partner,Tecan,0.9525,"['c', 'go', 'r']","Match Score: 95% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,7,15375009,HR,79231,3903825216,Human Resources Generalist,US Tech Solutions,0.945,"['c', 'go', 'r']","Match Score: 94% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 3 | Resume Exp: senior | Job Exp Req: senior"
3,7,15375009,HR,115086,3905845036,HR Operations Senior Manager,Sidley Austin LLP,0.9447,"['aws', 'c', 'go', 'r']","Match Score: 94% | Skills: aws, c, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,7,15375009,HR,114201,3905823748,Human Resources Manager,Youth Service Bureau of St. Joseph County,0.943,"['aws', 'c', 'r']","Match Score: 94% | Skills: aws, c, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,7,15375009,HR,38275,3898157722,Human Resources Director,LHH,0.9425,"['c', 'r']","Match Score: 94% | Skills: c, r | Resume Edu: 3 | Job Edu Req: 3 | Resume Exp: senior | Job Exp Req: senior"
1,8,11847784,HR,53607,3901661179,Chief Human Resource Officer,H&H Leadership Solutions,0.9345,"['aws', 'c', 'excel', 'go', 'r']","Match Score: 93% | Skills: aws, c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,8,11847784,HR,114599,3905832689,Human Resources Specialist,Randstad USA,0.9344,"['c', 'excel', 'go', 'r']","Match Score: 93% | Skills: c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,8,11847784,HR,118946,3906221851,Human Resources Specialist,Team 360 Staffing,0.934,"['c', 'excel', 'go', 'r']","Match Score: 93% | Skills: c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,8,11847784,HR,72039,3902866856,Human Resources Specialist,Avacend Inc,0.9297,"['c', 'excel', 'r']","Match Score: 92% | Skills: c, excel, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,8,11847784,HR,8833,3886453543,Human Resources Director,Life Care Centers of America,0.9291,"['aws', 'c', 'excel', 'go', 'r', 'sas']","Match Score: 92% | Skills: aws, c, excel, go, r, sas | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
1,9,32896934,HR,1705,3884438525,Human Resources Coordinator,Team San Jose,0.9225,"['aws', 'c', 'r']","Match Score: 92% | Skills: aws, c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,9,32896934,HR,114201,3905823748,Human Resources Manager,Youth Service Bureau of St. Joseph County,0.9203,"['aws', 'c', 'r']","Match Score: 92% | Skills: aws, c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,9,32896934,HR,10411,3886894023,Industrial Engineer,Revive Home Brands,0.9182,"['c', 'r']","Match Score: 91% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,9,32896934,HR,119895,3906227203,HR Manager,"CPS, Inc.",0.917,"['c', 'r']","Match Score: 91% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,9,32896934,HR,107022,3905331171,HR Administration Specialist ,"Northwire, Inc.",0.9165,"['c', 'r']","Match Score: 91% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
1,10,29149998,HR,43409,3900077027,Human Resources Manager,PTS Advance,0.9306,"['c', 'r']","Match Score: 93% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: mid | Job Exp Req: mid"
2,10,29149998,HR,42744,3899542342,Human Resources Manager,Acro Service Corp,0.9299,"['c', 'r']","Match Score: 92% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: mid | Job Exp Req: mid"
3,10,29149998,HR,6259,3885111472,Bookkeeper,,0.9261,"['c', 'r']","Match Score: 92% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: mid | Job Exp Req: mid"
4,10,29149998,HR,2756,3884812114,Human Resources Generalist,,0.9238,"['aws', 'c', 'r']","Match Score: 92% | Skills: aws, c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: mid | Job Exp Req: mid"
5,10,29149998,HR,40769,3898176420,Executive Assistant,,0.9232,"['c', 'r']","Match Score: 92% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: mid | Job Exp Req: mid"
1,11,11480899,HR,48502,3901347920,HR Business Partner,Tecan,0.9458,"['c', 'go', 'r']","Match Score: 94% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,11,11480899,HR,99766,3905202804,Human Resources Manager,Dana Incorporated,0.9444,"['c', 'go', 'r']","Match Score: 94% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,11,11480899,HR,79231,3903825216,Human Resources Generalist,US Tech Solutions,0.9414,"['c', 'go', 'r']","Match Score: 94% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 3 | Resume Exp: senior | Job Exp Req: senior"
4,11,11480899,HR,38275,3898157722,Human Resources Director,LHH,0.9404,"['c', 'r']","Match Score: 94% | Skills: c, r | Resume Edu: 3 | Job Edu Req: 3 | Resume Exp: senior | Job Exp Req: senior"
5,11,11480899,HR,42624,3899539354,Senior Vice President Human Resources,Miller Resource Group,0.9396,"['c', 'r']","Match Score: 93% | Skills: c, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
1,12,23155093,HR,48502,3901347920,HR Business Partner,Tecan,0.9406,"['c', 'go', 'r']","Match Score: 94% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,12,23155093,HR,119895,3906227203,HR Manager,"CPS, Inc.",0.9376,"['c', 'r']","Match Score: 93% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,12,23155093,HR,88075,3904392601,HR Generalist,Dana Incorporated,0.9353,"['c', 'excel', 'go', 'r']","Match Score: 93% | Skills: c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,12,23155093,HR,116508,3905871298,Human Resources Manager,Platinum Recruiting Group,0.9343,"['c', 'excel', 'r']","Match Score: 93% | Skills: c, excel, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,12,23155093,HR,33112,3894997544,Director of Human Resources,,0.9331,"['c', 'excel', 'r']","Match Score: 93% | Skills: c, excel, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
1,13,11763983,HR,54404,3901677830,HR Generalist,"TSP, a Syneos Health company",0.9498,"['aws', 'c', 'excel', 'go', 'r']","Match Score: 94% | Skills: aws, c, excel, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,13,11763983,HR,86059,3904375253,HR Generalist (Global Law Firm),Kay Search Group,0.949,"['aws', 'c', 'excel', 'r']","Match Score: 94% | Skills: aws, c, excel, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,13,11763983,HR,88075,3904392601,HR Generalist,Dana Incorporated,0.9433,"['c', 'excel', 'go', 'r']","Match Score: 94% | Skills: c, excel, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,13,11763983,HR,75376,3903451207,Human Resources Generalist,Green & Healthy Homes Initiative,0.943,"['aws', 'c', 'excel', 'go', 'r']","Match Score: 94% | Skills: aws, c, excel, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,13,11763983,HR,52865,3901630033,Human Resources Generalist,Marmon Construction Fastener Group,0.9415,"['aws', 'c', 'excel', 'r']","Match Score: 94% | Skills: aws, c, excel, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
1,14,27490876,HR,122537,3906254130,"Manager, HR Compliance",Panda Restaurant Group,0.9209,"['aws', 'c', 'go', 'r']","Match Score: 92% | Skills: aws, c, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,14,27490876,HR,52469,3901483670,Human Resources Administrative Assistant,Decca Recruiting ,0.9208,"['c', 'go', 'r']","Match Score: 92% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 1 | Resume Exp: senior | Job Exp Req: senior"
3,14,27490876,HR,25494,3891075438,Personnel Clerk,Hawaii State Department of Education,0.9194,"['c', 'r']","Match Score: 91% | Skills: c, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,14,27490876,HR,24849,3891069823,Human Resources Director,LHH,0.9193,"['aws', 'c', 'r']","Match Score: 91% | Skills: aws, c, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,14,27490876,HR,95552,3904933348,SR HR Business Partner- MON EMS,WVU Medicine,0.9185,"['aws', 'c', 'go', 'r']","Match Score: 91% | Skills: aws, c, go, r | Resume Edu: 3 | Job Edu Req: 3 | Resume Exp: senior | Job Exp Req: senior"
1,15,32977530,HR,42525,3899537048,Human Resources Manager,Tech One IT,0.8839,"['c', 'r']","Match Score: 88% | Skills: c, r | Resume Edu: 0 | Job Edu Req: 0 | Resume Exp: senior | Job Exp Req: senior"
2,15,32977530,HR,83146,3904059857,Client Services Representative,TEKsystems,0.8717,"['c', 'excel', 'r']","Match Score: 87% | Skills: c, excel, r | Resume Edu: 0 | Job Edu Req: 0 | Resume Exp: senior | Job Exp Req: senior"
3,15,32977530,HR,51585,3901390878,Multi-family Administrator Assistant,"Kromer Investments, Inc.",0.8709,"['c', 'excel', 'r']","Match Score: 87% | Skills: c, excel, r | Resume Edu: 0 | Job Edu Req: 0 | Resume Exp: senior | Job Exp Req: senior"
4,15,32977530,HR,7274,3885829177,Office Assistant,TEKsystems,0.867,"['c', 'excel', 'r']","Match Score: 86% | Skills: c, excel, r | Resume Edu: 0 | Job Edu Req: 0 | Resume Exp: senior | Job Exp Req: senior"
5,15,32977530,HR,49159,3901353442,Office Manager,Confidential,0.8641,"['c', 'r']","Match Score: 86% | Skills: c, r | Resume Edu: 0 | Job Edu Req: 0 | Resume Exp: senior | Job Exp Req: senior"
1,16,93002334,HR,36610,3895591992,Senior HRIS Analyst - SuccessFactors,Chobani,0.9507,"['c', 'excel', 'go', 'r']","Match Score: 95% | Skills: c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,16,93002334,HR,121513,3906248433,Senior HRIS Analyst - SuccessFactors,Chobani,0.9507,"['c', 'excel', 'go', 'r']","Match Score: 95% | Skills: c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,16,93002334,HR,104934,3905302266,HR Coordinator: 24-00479,RSC Solutions,0.9466,"['c', 'excel', 'r']","Match Score: 94% | Skills: c, excel, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,16,93002334,HR,48502,3901347920,HR Business Partner,Tecan,0.9459,"['c', 'go', 'r']","Match Score: 94% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,16,93002334,HR,95090,3904924378,Human Resources Operations Specialist,Core Staffing,0.9441,"['c', 'excel', 'r']","Match Score: 94% | Skills: c, excel, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
1,17,24184357,HR,53481,3901650285,Human Resources Manager,MSI Recruiting,0.9511,"['api', 'aws', 'c', 'excel', 'go', 'r']","Match Score: 95% | Skills: api, aws, c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,17,24184357,HR,83000,3904055529,HR Coordinator,Group Lotus,0.9499,"['aws', 'c', 'excel', 'go', 'r']","Match Score: 94% | Skills: aws, c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,17,24184357,HR,69939,3902831427,Human Resources Director,ET GLOBAL - USA,0.9462,"['aws', 'c', 'excel', 'r']","Match Score: 94% | Skills: aws, c, excel, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,17,24184357,HR,118946,3906221851,Human Resources Specialist,Team 360 Staffing,0.9453,"['c', 'excel', 'go', 'r']","Match Score: 94% | Skills: c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,17,24184357,HR,11252,3887485850,Human Resources Manager,CPS Recruitment,0.9445,"['api', 'aws', 'c', 'excel', 'r']","Match Score: 94% | Skills: api, aws, c, excel, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
1,18,73077810,HR,42169,3899531612,Human Resources Generalist,Robert Half,0.9489,"['c', 'llm', 'r']","Match Score: 94% | Skills: c, llm, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,18,73077810,HR,96374,3904947366,Bilingual HR Generalist (English/Spanish),"CPS, Inc.",0.9424,"['c', 'llm', 'r']","Match Score: 94% | Skills: c, llm, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,18,73077810,HR,32180,3894892548,Human Resources Generalist,Sedona Staffing Services,0.939,"['c', 'go', 'llm', 'r']","Match Score: 93% | Skills: c, go, llm, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,18,73077810,HR,38275,3898157722,Human Resources Director,LHH,0.9368,"['c', 'r']","Match Score: 93% | Skills: c, r | Resume Edu: 3 | Job Edu Req: 3 | Resume Exp: senior | Job Exp Req: senior"
5,18,73077810,HR,78084,3903809413,Senior Human Resources Generalist,US Tech Solutions,0.9342,"['c', 'go', 'r']","Match Score: 93% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 3 | Resume Exp: senior | Job Exp Req: senior"
1,19,13879043,HR,48502,3901347920,HR Business Partner,Tecan,0.9513,"['c', 'go', 'r']","Match Score: 95% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,19,13879043,HR,38275,3898157722,Human Resources Director,LHH,0.9396,"['c', 'r']","Match Score: 93% | Skills: c, r | Resume Edu: 3 | Job Edu Req: 3 | Resume Exp: senior | Job Exp Req: senior"
3,19,13879043,HR,79231,3903825216,Human Resources Generalist,US Tech Solutions,0.9365,"['c', 'go', 'r']","Match Score: 93% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 3 | Resume Exp: senior | Job Exp Req: senior"
4,19,13879043,HR,98042,3904967824,HR Business Partner,"GNCO, Inc.",0.9349,"['c', 'go', 'r']","Match Score: 93% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,19,13879043,HR,42624,3899539354,Senior Vice President Human Resources,Miller Resource Group,0.9326,"['c', 'r']","Match Score: 93% | Skills: c, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
1,20,30163002,HR,104258,3905298251,Executive Assistant,MAFÉ Resources,0.9317,"['c', 'r']","Match Score: 93% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: entry | Job Exp Req: entry"
2,20,30163002,HR,15668,3887915624,"Branch Intern (Decatur, IL)",Raymond James,0.9291,"['c', 'r']","Match Score: 92% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: entry | Job Exp Req: entry"
3,20,30163002,HR,15699,3887918244,"Branch Intern (Westport, CT)",Raymond James,0.9291,"['c', 'r']","Match Score: 92% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: entry | Job Exp Req: entry"
4,20,30163002,HR,115586,3905854083,Business Analyst ,Independence Blue Cross,0.9243,"['c', 'excel', 'r']","Match Score: 92% | Skills: c, excel, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: entry | Job Exp Req: entry"
5,20,30163002,HR,42937,3900064772,Executive Assistant,Robert Half,0.924,"['c', 'r']","Match Score: 92% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: entry | Job Exp Req: entry"
1,21,18827609,HR,101571,3905251179,Human Resources Specialist,MDMartin Staffing,0.9417,"['c', 'go', 'r']","Match Score: 94% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: mid | Job Exp Req: mid"
2,21,18827609,HR,42744,3899542342,Human Resources Manager,Acro Service Corp,0.9382,"['c', 'r']","Match Score: 93% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: mid | Job Exp Req: mid"
3,21,18827609,HR,39709,3898168129,Hybrid HR Analyst,"Pyramid Consulting Group, LLC",0.9367,"['c', 'excel', 'go', 'r']","Match Score: 93% | Skills: c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: mid | Job Exp Req: mid"
4,21,18827609,HR,34567,3895494006,Human Resouces Business Partner,Confidential,0.9339,"['c', 'excel', 'go', 'r']","Match Score: 93% | Skills: c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: mid | Job Exp Req: mid"
5,21,18827609,HR,91549,3904512019,Human Resources Manager,Green Key Resources,0.9323,"['c', 'go', 'r']","Match Score: 93% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: mid | Job Exp Req: mid"
1,22,25676643,HR,118946,3906221851,Human Resources Specialist,Team 360 Staffing,0.9649,"['c', 'excel', 'go', 'r']","Match Score: 96% | Skills: c, excel, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,22,25676643,HR,48502,3901347920,HR Business Partner,Tecan,0.9485,"['c', 'go', 'r']","Match Score: 94% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,22,25676643,HR,38275,3898157722,Human Resources Director,LHH,0.9471,"['c', 'r']","Match Score: 94% | Skills: c, r | Resume Edu: 3 | Job Edu Req: 3 | Resume Exp: senior | Job Exp Req: senior"
